ID;Income (anual);sex;UBICACION;Fecha nacimiento;Area;Fecha Ingreso
3985;121148;M;LIMA;31969;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
3986;135125;M;LIMA;31878;BANCA EMPRESAS E INSTITUCIONES;1/11/2017
3989;100105;M;PROVINCIA;32045;RIESGOS;1/09/2017
3990;116414;M;PROVINCIA;29938;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
3991;92905;M;PROVINCIA;27882;RIESGOS;1/09/2017
3992;75518;H;PROVINCIA;31208;RIESGOS;1/09/2017
3994;89346;H;PROVINCIA;29425;OTROS;1/09/2017
3998;96402;H;LIMA;32240;RIESGOS;1/06/2017
4036;123450;M;LIMA;32346;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/11/2015
4037;77934;H;LIMA;32141;RIESGOS;15/11/2015
4038;93485;H;LIMA;34543;RIESGOS;1/05/2018
4051;73465;H;LIMA;32397;TALENTO & CULTURA;1/11/2017
4079;108070;H;LIMA;33698;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
4080;78072;M;LIMA;33563;OTROS;1/01/2018
4106;63260;M;LIMA;32852;OTROS;1/02/2016
4107;132988;M;LIMA;32025;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2018
4114;143024;H;LIMA;32787;ENGINEERING;15/02/2016
